num.network.threads,num.io.threads,queued.max.requests,num.replica.fetchers,socket.receive.buffer.bytes,socket.send.buffer.bytes,socket.request.max.bytes,buffer.memory,batch.size,linger.ms,compression.type,ack,T,1/T
20,8,84,7,14,20,21,44,21,80,lz4,1,29.74,0.033624748
4,9,71,10,1,11,27,1,4,91,gzip,1,14.81,0.067521945
6,13,33,3,18,9,2,42,16,33,lz4,1,28.68,0.034867503
2,8,83,12,10,1,22,35,37,13,snappy,1,26.06,0.038372985
19,15,81,3,18,7,20,19,30,37,none,1,30.59,0.032690422
16,9,31,14,20,7,7,18,46,16,none,1,31.49,0.031756113
11,20,12,20,18,4,9,30,48,97,none,1,30.59,0.032690422
6,1,60,8,5,12,29,2,28,5,gzip,1,13.61,0.073475386
15,7,78,13,3,15,25,2,41,50,lz4,1,21.18,0.047214353
15,14,30,8,11,4,2,41,60,37,lz4,1,28.79,0.034734283
14,20,1,12,14,4,23,30,34,29,none,1,27.01,0.037023325
1,13,85,5,6,7,13,14,3,54,none,1,11.67,0.085689803
10,24,3,7,5,2,27,44,59,59,gzip,1,14.73,0.067888663
4,22,84,1,11,11,13,28,55,35,none,1,28.22,0.035435861
10,14,57,17,16,13,25,4,34,73,none,1,26,0.038461538
10,7,7,2,13,19,1,5,45,0,snappy,1,16.83,0.059417706
18,1,60,4,14,1,18,11,60,50,snappy,1,27.96,0.035765379
3,19,88,18,7,9,4,35,61,69,snappy,1,28.55,0.03502627
10,21,65,6,9,10,17,34,39,41,lz4,1,27.86,0.035893754
4,17,29,2,11,10,11,28,34,73,lz4,1,28.64,0.034916201
7,24,94,1,2,8,25,7,2,61,none,1,12.33,0.081103001
16,23,77,12,5,1,20,16,28,47,lz4,1,25.64,0.03900156
10,8,94,7,8,15,13,28,45,42,snappy,1,29.78,0.033579584
2,21,63,9,6,8,16,42,63,46,lz4,1,23.62,0.042337003
13,19,68,19,16,8,12,3,6,9,snappy,1,18.97,0.052714813
8,3,23,6,2,2,3,23,40,72,none,1,20.9,0.04784689
17,6,25,15,20,18,16,28,63,83,none,1,30.74,0.032530904
4,23,22,18,20,15,26,24,61,53,gzip,1,10.32,0.096899225
5,16,89,1,18,7,5,48,58,67,gzip,1,11.77,0.084961767
