XX:MaxNewSize,Xms,Xmx,protocol,maxHttpHeaderSize,maxThreads,minSpareThreads,maxSpareThreads,minProcessors,acceptCount,enableLookups,connectionTimeout,disableUploadTimeout,compressionMinSize,90th
128,64,256,org.apache.coyote.http11.Http11AprProtocol,8192,500,50,500,50,50,FALSE,10000,FALSE,2048,8614.748449
128,256,256,org.apache.coyote.http11.Http11AprProtocol,8192,1000,25,250,10,100,TRUE,10000,FALSE,1024,7392.804337
256,128,512,org.apache.coyote.http11.Http11NioProtocol,16384,200,50,500,100,200,TRUE,10000,FALSE,2048,7975.753709
256,128,512,org.apache.coyote.http11.Http11AprProtocol,4096,500,25,250,50,50,FALSE,30000,FALSE,1024,8892.050507
64,128,256,org.apache.coyote.http11.Http11AprProtocol,16384,500,50,75,50,200,FALSE,10000,TRUE,1024,9320.243569
256,64,512,org.apache.coyote.http11.Http11NioProtocol,16384,500,100,500,100,200,FALSE,10000,TRUE,1024,7946.598856
128,128,256,org.apache.coyote.http11.Http11NioProtocol,8192,500,25,75,10,50,TRUE,30000,TRUE,1024,8178.844057
128,128,256,org.apache.coyote.http11.Http11AprProtocol,16384,500,50,250,10,50,FALSE,20000,FALSE,1024,8792.497069
64,64,128,org.apache.coyote.http11.Http11AprProtocol,4096,1000,25,75,50,50,TRUE,30000,TRUE,2048,7753.540784
256,64,512,org.apache.coyote.http11.Http11AprProtocol,4096,500,25,75,100,200,FALSE,10000,FALSE,2048,8735.65896
