innodb_log_buffer_size,innodb_additional_mem_pool_size,max_allowed_packet numeric,innodb_buffer_pool_size,thread_cache_size,max_connect_errors,tmp_table_size,join_buffer_size,max_heap_table_size,innodb_autoextend_increment,table_open_cache,query_cache_limit,sort_buffer_size,QPS
10941,2526,13411,1533,100,1850,121824,445,103165,224686,674,1031,3899,750520
11302,14506,2365,2002,73,974,72508,888,100347,22375,523,1312,3369,802520
12344,13301,10921,7314,54,10,25376,1169,64725,353494,1149,1172,1408,805540
13107,3896,9771,3365,93,217,115409,281,73812,487569,1262,1726,1724,727140
13197,17362,3581,6461,7,1700,110404,1270,20602,136565,949,1278,1186,800020
14565,10972,4273,4189,63,912,24338,634,40669,204865,1125,1193,3080,799580
15190,13818,14047,3083,42,1022,52279,269,10162,372850,1698,1048,1577,760220
15731,17800,5648,6876,65,1326,8497,720,12482,442910,1814,1872,3648,758800
16663,15324,14826,2481,12,612,47765,1712,55538,300183,295,1568,2008,766800
17419,9834,6022,4598,50,1105,84530,320,81701,237853,1186,1798,1889,761240
17629,1250,15711,2969,17,1286,66781,951,63387,187070,223,1710,3227,808900
18827,7185,11541,6252,115,1943,42978,830,26094,96760,1862,1793,211,740160
19646,8082,12675,7482,26,1526,59258,1351,26979,451659,1357,1957,595,766560
19924,4572,13040,5668,48,156,35338,1081,124070,251720,780,1052,1268,727740
20839,12632,12011,1092,124,1985,57375,1663,125875,311310,2013,1576,1486,792520
21343,6169,5053,174,21,564,53381,171,19720,158830,716,1042,2787,787880
21976,4285,8124,5479,97,1768,89570,1784,2580,261790,1549,1804,2116,790840
22613,1498,8560,3874,76,1649,86549,206,97237,158034,161,1545,2949,739080
23413,2327,3080,881,34,789,30100,1126,15867,323525,364,1278,2840,836960
24640,7758,9300,656,56,1443,63670,1547,113086,211223,1301,1982,911,800160
24782,12056,7134,7695,118,128,34213,1945,70139,41192,1506,1442,2375,736060
25750,19178,3963,4748,71,1368,81967,908,77053,275329,1586,1270,371,750260
26233,10389,14937,2271,30,1460,108346,511,89010,415794,1038,1020,2436,817820
27202,11640,5155,7999,32,252,12755,1569,94698,75111,595,1902,674,802640
28003,8516,10632,3660,24,1834,100817,1817,52863,505820,1721,1057,3459,778220
28714,5504,14345,551,88,469,123745,795,47065,337990,811,1078,2303,787460
29475,19784,15417,1329,104,379,126532,1903,106327,47213,1660,1182,1092,783400
30194,18366,11269,4396,69,1152,13899,594,33651,406767,1795,1611,4080,807700
30766,6717,2691,5111,126,1226,44601,697,110019,86176,1382,1130,953,764620
31641,5462,9233,2665,110,891,16461,1449,6087,479775,435,1112,254,825400
